Estacao,N. Lab.,Long (X),Lat (Y),Laboratorio,Cod analise,Tipo de amostra,As (PPM),Bi (PPM)
LR-0083,CCG 738,-53.3058,-7.798411,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.24
LR-0084,CCG 739,-53.2381,-7.798404,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.05
MC-0001,CCG 740,-50.0118,-7.812937,Acme,ICP14B/1F04,Sed. Cor.,4.5,0.15
MC-0002,CCG 741,-50.471,-7.81376,Acme,ICP14B/1F04,Sed. Cor.,1,0.13
MC-0003,CCG 742,-50.4994,-7.81115,Acme,ICP14B/1F04,Sed. Cor.,1.2,0.09
MC-0004,CCG 743,-50.7257,-7.815495,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.21
MC-0005,CCG 744,-50.5056,-7.810551,Acme,ICP14B/1F04,Sed. Cor.,1,0.24
MC-0006,CCG 745,-50.3727,-7.807553,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.14
MC-0007,CCG 746,-50.5111,-7.808586,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.14
MC-0008,CCG 747,-50.6936,-7.805465,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.19
MC-0009,CCG 748,-50.8795,-7.811292,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.15
MC-0010A,CCG 749,-50.7881,-7.813136,Acme,ICP14B/1F04,Sed. Cor.,1,0.15
MC-0010B,CCH156,-50.7881,-7.813136,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.14
MC-0011,CCG 750,-50.1891,-7.795012,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.07
MC-0012,CCG 751,-50.3069,-7.790746,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.12
MC-0013,CCG 752,-50.523,-7.791885,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.04
MC-0014,CCG 753,-50.579,-7.79803,Acme,ICP14B/1F04,Sed. Cor.,1.2,0.11
MC-0015,CCG 754,-50.5254,-7.798633,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.07
