,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
267,MC-0030B,CCH158,-44.87803301,-19.95516939,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.08
268,MC-0031,CCG 770,-44.84941483,-19.97998026,Acme,ICP14B/1F04,Sed. Cor.,2.3,0.17
269,MC-0032,CCG 771,-44.9045174,-19.84056305,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.13
270,MC-0033,CCG 772,-44.89738933,-19.81649396,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.14
271,MC-0034,CCG 773,-44.88611996,-19.7788666,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.21
272,MC-0035,CCG 774,-44.88623103,-19.78378274,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.14
273,MC-0036,CCG 775,-44.87962134,-19.81360011,Acme,ICP14B/1F04,Sed. Cor.,1,0.08
274,MC-0037,CCG 776,-44.84782114,-19.82737511,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.11
275,MC-0038,CCG 777,-44.89772683,-19.98982855,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.09
276,MC-0039,CCG 778,-44.85859199,-19.94670564,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.03
277,MC-0040A,CCG 779,-44.83588249,-19.90354473,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.07
278,MC-0040B,CCH159,-44.83588249,-19.90354473,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.06
279,MC-0041,CCG 780,-44.76656108,-19.77166563,Acme,ICP14B/1F04,Sed. Cor.,16.8,0.3
280,MC-0042,CCG 781,-44.76241546,-19.7734585,Acme,ICP14B/1F04,Sed. Cor.,21.1,0.21
281,MC-0043,CCG 782,-44.78349504,-19.76508096,Acme,ICP14B/1F04,Sed. Cor.,172.6,0.24
282,MC-0044,CCG 783,-44.79976981,-19.75784329,Acme,ICP14B/1F04,Sed. Cor.,59.2,0.23
283,MC-0045,CCG 784,-44.82492298,-19.76516243,Acme,ICP14B/1F04,Sed. Cor.,2.9,0.47
284,MC-0046,CCG 785,-44.81477227,-19.77662002,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.38
285,MC-0047,CCG 786,-44.87231118,-19.91597304,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.1
286,MC-0048,CCG 787,-44.84079391,-19.94101552,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.06
287,MC-0049,CCG 788,-44.82947078,-19.95794884,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.1
288,MC-0050A,CCG 789,-44.82689537,-19.95333763,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.1
289,MC-0050B,CCH160,-44.82689537,-19.95333763,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.1
290,MC-0051,CCG 790,-44.88697654,-19.82312073,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.09
291,MC-0052,CCG 791,-44.88799997,-19.84798173,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.04
292,MC-0053,CCG 792,-44.87231759,-19.872226,Acme,ICP14B/1F04,Sed. Cor.,1,0.07
293,MC-0054,CCG 793,-44.85080857,-19.82900426,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.1
294,MC-0055,CCG 794,-44.80462415,-19.77693455,Acme,ICP14B/1F04,Sed. Cor.,3.9,0.32
295,MC-0056,CCG 795,-44.7739258,-19.80212927,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.13
296,MC-0057,CCG 796,-44.79526684,-19.80830004,Acme,ICP14B/1F04,Sed. Cor.,2.4,0.33
297,MC-0058,CCG 797,-44.79247938,-19.82254791,Acme,ICP14B/1F04,Sed. Cor.,7.5,0.27
298,MC-0059,CCG 798,-44.78121733,-19.84619282,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.28
299,MC-0060A,CCG 799,-44.79106865,-19.85712108,Acme,ICP14B/1F04,Sed. Cor.,1,0.07
300,MC-0060B,CCH161,-44.79106865,-19.85712108,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.07
301,MC-0061,CCG 800,-44.79145152,-19.86379971,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.05
302,MC-0062,CCG 801,-44.77416099,-19.81814282,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.13
303,MC-0063,CCG 802,-44.76532521,-19.82680677,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.24
304,MC-0064,CCG 803,-44.77904799,-19.88167756,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.07
305,MC-0065,CCG 804,-44.76961751,-19.9029381,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.09
306,MC-0066,CCG 805,-44.7675322,-19.92431626,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.11
307,MC-0067,CCG 806,-44.76079132,-19.91461093,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.09
308,MC-0068,CCG 807,-44.75260134,-19.9280102,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.12
309,MC-0069,CCG 808,-44.76181551,-19.93888489,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.07
310,MC-0070A,CCG 809,-44.74865084,-19.95478938,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.08
311,MC-0070B,CCH162,-44.74865084,-19.95478938,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.07
312,MC-0071,CCG 810,-44.75094606,-19.96598,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.05
313,MC-0072,CCG 811,-44.76302991,-19.98315715,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.13
314,MC-0073,CCG 812,-44.76099639,-19.98785348,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.1
